id,title,like_count,view_count,comment_count,duration,upload_date,has_caption,url,channel_id,transcript
115,"[2022 서울시립대학교 영상 공모전] 대상 시대의 흐름을 타고""""",60,3753,4,4분 24초,2022-12-23 2:18,1,https://www.youtube.com/watch?v=lWydwyiJB8s,1,
116,한독수교 140주년 기념 특별전 연계 글로벌 대담 - 데게 교수가 본 70년대 한국 | 5. 나의 필드노트,3,284,1,5분 0초,2022-12-14 4:27,1,https://www.youtube.com/watch?v=mfYAPEVTxH8,1,
117,한독수교 140주년 기념 특별전 연계 글로벌 대담 - 데게 교수가 본 70년대 한국 | 4. 조사지에서의 에피소드,7,321,1,4분 56초,2022-12-14 4:25,1,https://www.youtube.com/watch?v=-yIuJyGUhmI,1,
118,한독수교 140주년 기념 특별전 연계 글로벌 대담 - 데게 교수가 본 70년대 한국 | 3. 한국에서의 생활과 가족,4,197,2,5분 45초,2022-12-14 4:24,1,https://www.youtube.com/watch?v=tJSxT-1BcL0,1,
119,한독수교 140주년 기념 특별전 연계 글로벌 대담 - 데게 교수가 본 70년대 한국 | 2. 한국을 연구대상으로 삼은 이유,9,262,1,5분 23초,2022-12-14 4:19,1,https://www.youtube.com/watch?v=5kHwKnY7mw8,1,
120,한독수교 140주년 기념 특별전 연계 글로벌 대담 - 데게 교수가 본 70년대 한국 | 1. 지리학 전공이야기,4,337,1,8분 46초,2022-12-14 4:16,1,https://www.youtube.com/watch?v=o8IZqsLv9ms,1,
121,🔥24시간의 기적🔥... 이루미와 함께 빡세게 달려볼사람? 🙋‍♂️🙋‍♂️ (서울시립대학교 Study with me) | 홍보대사 이루미,37,1730,3,60분 2초,2022-12-12 12:38,1,https://www.youtube.com/watch?v=eegXfZIos8c,1,
122,서울시립대 JBS 아카이빙 프로젝트 '694에서 163으로',21,674,2,26분 3초,2022-12-08 4:48,1,https://www.youtube.com/watch?v=P7mX1KeKKCg,1,
123,현장실습 V-log | 비주페르소 with 경영학부,14,924,3,8분 58초,2022-11-29 4:55,1,https://www.youtube.com/watch?v=bhbcDANSnmw,1,
124,현장실습 V-log | ㈜비엠코퍼레이션 with 스포츠과학과,18,1311,0,8분 45초,2022-11-23 1:00,1,https://www.youtube.com/watch?v=_5IUDpVFnwU,1,
125,현장실습 V-log | 한국산업기술시험원 (KTL) with 전자전기컴퓨터공학부,7,529,0,5분 50초,2022-11-23 1:00,1,https://www.youtube.com/watch?v=KHSyXny5zEc,1,
126,현장실습 V-log | 서울산업진흥원 with 산업디자인학과,7,457,0,11분 4초,2022-11-22 3:32,1,https://www.youtube.com/watch?v=Lb5O0MHSEkM,1,
127,현장실습 V-log | 건축사사무소 오드투에이 with 건축학부,19,1308,0,8분 34초,2022-11-22 3:29,1,https://www.youtube.com/watch?v=VJVBwcGpNjQ,1,
128,현장실습 V-log | DCR&CH 엔지니어링 with 건축학부,10,1179,0,6분 45초,2022-11-22 0:18,1,https://www.youtube.com/watch?v=KfhSN8FoE8c,1,
129,현장실습 V-log | 서울산업진흥원 with 경영학부,12,515,0,6분 17초,2022-11-22 0:13,1,https://www.youtube.com/watch?v=3-so-fzj_aM,1,
130,"캠투..? ..그거 어떻게 하는 건데"" | 캠퍼스투어 V-log | 홍보대사 이루미""",48,2990,7,8분 1초,2022-11-19 8:11,1,https://www.youtube.com/watch?v=uS1SUtrXBCg,1,
